Intake ID,Date Received,Current File Name,Project / Case,Document Type,Destination Folder,Status,Owner,Due Date,Next Action,Exception
Q-20260924-001,2026-09-24,00 — INBOX & TO SORT,SRF 11 migration,Folder (container),00 — INBOX & FILE CONTROL,FILED,Stephen Riner / Sherry White,,Re-triage contents against triage.md and retire the SRF 11 shell,
Q-20260924-002,2026-09-24,01 — COMPANY & ADMINISTRATION,SRF 11 migration,Folder (container),08 — COMPANIES & ENTITY RECORDS,FILED,Administration owner,,Re-triage contents; split by entity per folder-templates.md,Owner is a role — master-directory.md names no person for 08
Q-20260924-003,2026-09-24,02 — FINANCE & ACCOUNTING,SRF 11 migration,Folder (container),"07 — FINANCE, BANKING & TAX — RESTRICTED",FILED,Sherry White,,Re-triage contents; reorganise recurring records year then month,Destination is RESTRICTED — Drive permissions not yet set
Q-20260924-004,2026-09-24,03 — PROPERTY PORTFOLIO,SRF 11 migration,Folder (container),03 — OWNED REAL ESTATE PORTFOLIO,FILED,Assigned asset owner,,Rebuild each property under the Owned Property template,Owner is a role; property status (active/sold/inactive) still unconfirmed
Q-20260924-005,2026-09-24,04 — ACQUISITIONS & SALES,SRF 11 migration,Folder (container),02 — ACTIVE DEALS & ACQUISITIONS,FILED,Assigned deal owner,,Rebuild each deal under the Active Deal template with a stage in the name,Owner is a role
Q-20260924-006,2026-09-24,05 — CONSTRUCTION & RENOVATION,SRF 11 migration,Folder (container),04 — CONSTRUCTION & REHAB,FILED,Melvin Summers,,Re-triage; property-specific work moves to the property folder in 03,
Q-20260924-007,2026-09-24,06 — RENTAL & PROPERTY MANAGEMENT,SRF 11 migration,Folder (container),05 — PROPERTY MANAGEMENT & TENANTS,FILED,PM owner,,Re-triage contents,Owner is a role; tenant applications need real Drive permissions
Q-20260924-008,2026-09-24,07 — VENDORS & CONTRACTORS,SRF 11 migration,Folder (container),"11 — VENDORS, CONTRACTORS & PROFESSIONALS",FILED,Operations owner,,Split into one folder per vendor under the Vendor template,Owner is a role
Q-20260924-009,2026-09-24,08 — EMPLOYEES & TEAM,SRF 11 migration,Folder (container),"10 — TEAM, HR & ACCOUNTABILITY — RESTRICTED",FILED,Stephen Riner,,Re-triage contents,Destination is RESTRICTED — Drive permissions not yet set
Q-20260924-010,2026-09-24,09 — LEGAL & COMPLIANCE,SRF 11 migration,Folder (container),06 — LEGAL — RESTRICTED,FILED,Legal coordinator / paralegal,,Rebuild each matter under the Legal Matter template; preserve evidence unaltered,Owner is a role; RESTRICTED permissions not set; evidence subfolder 04 must stay write-once
Q-20260924-011,2026-09-24,10 — MARKETING & BRANDING,SRF 11 migration,Folder (container),"13 — MARKETING, BRAND & SALES",FILED,Marketing owner,,Re-triage contents,Owner is a role
Q-20260924-012,2026-09-24,11 — SYSTEMS & OPERATIONS,SRF 11 migration,Folder (container),"14 — SYSTEMS, SOPs & TEMPLATES",FILED,Stephen Riner,,Merge with 12 — TEMPLATES & FORMS; both map to 14,
Q-20260924-013,2026-09-24,12 — TEMPLATES & FORMS,SRF 11 migration,Folder (container),"14 — SYSTEMS, SOPs & TEMPLATES",FILED,Stephen Riner,,Merge with 11 — SYSTEMS & OPERATIONS; both map to 14,
Q-20260924-014,2026-09-24,99 — ARCHIVE,SRF 11 migration,Folder (container),99 — ARCHIVE — NOT ACTIVE WORK,FILED,Administration owner,,File SRF 11 plan documents here as superseded records,Owner is a role
